scan_id,domain,hostname,ip,port,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,api.zapisec.ai,3.138.146.166,,,,,api.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,autodiscover.zapisec.ai,40.99.31.152,,,,,autodiscover.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,security.zapisec.ai,,,,,,security.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,www.zapisec.ai,160.153.0.88,,,,,www.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,zapisec.ai,,,,,,zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,api.zapisec.ai,3.138.146.166,80,http,unknown (detected via socket),tcp,api.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,api.zapisec.ai,3.138.146.166,443,https,unknown (detected via socket),tcp,api.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,api.zapisec.ai,3.138.146.166,22,ssh,unknown (detected via socket),tcp,api.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,autodiscover.zapisec.ai,40.99.31.152,80,http,unknown (detected via socket),tcp,autodiscover.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,security.zapisec.ai,security.zapisec.ai,80,http,unknown (detected via socket),tcp,security.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,security.zapisec.ai,security.zapisec.ai,443,https,unknown (detected via socket),tcp,security.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,security.zapisec.ai,security.zapisec.ai,22,ssh,unknown (detected via socket),tcp,security.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,www.zapisec.ai,160.153.0.88,80,http,unknown (detected via socket),tcp,www.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,www.zapisec.ai,160.153.0.88,443,https,unknown (detected via socket),tcp,www.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,www.zapisec.ai,160.153.0.88,8080,http,unknown (detected via socket),tcp,www.zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,zapisec.ai,zapisec.ai,80,http,unknown (detected via socket),tcp,zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,zapisec.ai,zapisec.ai,443,https,unknown (detected via socket),tcp,zapisec.ai,,,,2025-12-09T10:28:45.778023
scan-101c93b4-79b7-4e6e-959d-16b41ee5b9b4,zapisec.ai,zapisec.ai,zapisec.ai,8080,http,unknown (detected via socket),tcp,zapisec.ai,,,,2025-12-09T10:28:45.778023
