scan_id,domain,hostname,ip,port,port_status,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,autoconfig.zeroshield.ai,,,,,,,autoconfig.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,autodiscover.zeroshield.ai,,,,,,,autodiscover.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshield.zeroshield.ai,,,,,,,complianceshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshieldbackend.zeroshield.ai,,,,,,,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshield.zeroshield.ai,,,,,,,threatshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshieldbackend.zeroshield.ai,,,,,,,threatshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,www.zeroshield.ai,,,,,,,www.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,zeroshield.ai,,,,,,,zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,autoconfig.zeroshield.ai,104.21.27.150,80,open,http,Cloudflare http proxy,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,autoconfig.zeroshield.ai,104.21.27.150,443,open,https,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,autoconfig.zeroshield.ai,104.21.27.150,8080,open,http,Cloudflare http proxy,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,autodiscover.zeroshield.ai,52.98.57.136,80,open,http,Microsoft IIS httpd 10.0,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,80,open,http,AWS Elastic Load Balancing,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshield.zeroshield.ai,65.2.51.28,443,open,http,nginx 1.28.0,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,22,open,ssh,OpenSSH 8.7,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,80,open,http,nginx 1.28.0,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,443,open,http,nginx 1.28.0,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,5432,open,postgresql,PostgreSQL DB 9.6.0 or later,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,8080,open,http,Uvicorn,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,22,open,ssh,OpenSSH 8.7,tcp,threatshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,80,open,http,nginx 1.28.0,tcp,threatshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,443,open,http,nginx 1.28.0,tcp,threatshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,5432,open,postgresql,PostgreSQL DB 9.6.0 or later,tcp,threatshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
scan-45ee2ad5-e4fd-42fd-a757-96c10c78425e,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,8080,open,http,Uvicorn,tcp,threatshield.zeroshield.ai,,,,2025-12-09T13:03:51.730490
