scan_id,domain,hostname,ip,port,port_status,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,,,,,,,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,,,,,,,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,complianceshield.zeroshield.ai,,,,,,,complianceshield.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,complianceshieldbackend.zeroshield.ai,,,,,,,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,threatshield.zeroshield.ai,,,,,,,threatshield.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,threatshieldbackend.zeroshield.ai,,,,,,,threatshieldbackend.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,www.zeroshield.ai,,,,,,,www.zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,zeroshield.ai,,,,,,,zeroshield.ai,,,,2025-12-09T12:36:50.069309
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,21,open,ftp,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,22,open,ssh,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,25,open,smtp,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,53,open,domain,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,80,open,http,Cloudflare http proxy,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,110,open,pop3,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,143,open,imap,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,443,open,https,cloudflare,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,993,open,imaps,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,995,open,pop3s,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,3306,open,mysql,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,3389,open,ms-wbt-server,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,5432,open,postgresql,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,8080,open,http,Cloudflare http proxy,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,21,open,ftp,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,22,open,ssh,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,25,open,smtp,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,53,open,domain,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,80,open,http,Microsoft IIS httpd 10.0,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,110,open,pop3,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,143,open,imap,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,443,open,https,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,993,open,imaps,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,995,open,pop3s,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,3306,open,mysql,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,3389,open,ms-wbt-server,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,5432,open,postgresql,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,autodiscover.zeroshield.ai,52.98.34.200,8080,open,http-proxy,unknown,tcp,autodiscover.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,complianceshield.zeroshield.ai,13.235.112.121,21,open,ftp,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:36:50.069827
scan-492164fd-8313-4373-b4fb-9dc2818787b3,zeroshield.ai,complianceshield.zeroshield.ai,13.235.112.121,22,open,ssh,unknown,tcp,complianceshield.zeroshield.ai,,,,2025-12-09T12:36:50.069827
