scan_id,domain,hostname,ip,port,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autoconfig.zeroshield.ai,,,,,,autoconfig.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autodiscover.zeroshield.ai,,,,,,autodiscover.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshield.zeroshield.ai,,,,,,complianceshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,,,,,,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,,,,,,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshieldbackend.zeroshield.ai,,,,,,threatshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,www.zeroshield.ai,,,,,,www.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,zeroshield.ai,,,,,,zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,21,ftp,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:05:54.797619
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,autoconfig.zeroshield.ai,172.67.142.243,22,ssh,unknown,tcp,autoconfig.zeroshield.ai,,,,2025-12-09T12:05:54.797619
