Date,Component,Type,Event,Event ID
2025-12-03 17:55:51,sflib,STATUS,Scan [B93B5F0E] for 'zeroshield.ai' initiated.,1072
2025-12-03 17:55:51,sflib,STATUS,sfp__stor_db module loaded.,1073
2025-12-03 17:55:51,sflib,ERROR,Failed to load module: sfp_azure,1074
2025-12-03 17:55:51,sflib,ERROR,Failed to load module: sfp_certificate,1075
2025-12-03 17:55:51,sflib,STATUS,sfp_crt module loaded.,1076
2025-12-03 17:55:51,sflib,STATUS,sfp_dnsbrute module loaded.,1077
2025-12-03 17:55:51,sflib,STATUS,sfp_dnscommonsrv module loaded.,1078
2025-12-03 17:55:51,sfp_dnsresolve,STATUS,Identifying aliases for specified target(s),1079
2025-12-03 17:55:52,sfp_dnsresolve,DEBUG,Found an alias: zeroshield.ai,1080
2025-12-03 17:55:52,sfp_dnsresolve,DEBUG,Found an alias: 104.21.27.150,1081
2025-12-03 17:55:52,sfp_dnsresolve,DEBUG,Found an alias: 172.67.142.243,1082
2025-12-03 17:55:52,sfp_dnsresolve,STATUS,"Target aliases identified: [{'type': 'INTERNET_NAME', 'value': 'zeroshield.ai'}, {'type': 'IP_ADDRESS', 'value': '104.21.27.150'}, {'type': 'IP_ADDRESS', 'value': '172.67.142.243'}]",1083
2025-12-03 17:55:52,sflib,STATUS,sfp_dnsresolve module loaded.,1084
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_email_extractor,1085
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_gcp,1086
2025-12-03 17:55:52,sflib,STATUS,sfp_hackertarget module loaded.,1087
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_httpheader,1088
2025-12-03 17:55:52,sflib,STATUS,sfp_portscan_tcp module loaded.,1089
2025-12-03 17:55:52,sflib,STATUS,sfp_s3bucket module loaded.,1090
2025-12-03 17:55:52,sflib,STATUS,sfp_shodan module loaded.,1091
2025-12-03 17:55:52,sflib,STATUS,sfp_spider module loaded.,1092
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_ssl,1093
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_subdomain,1094
2025-12-03 17:55:52,sflib,STATUS,sfp_threatcrowd module loaded.,1095
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_wappalyzer,1096
2025-12-03 17:55:52,sflib,ERROR,Failed to load module: sfp_webanalyze,1097
2025-12-03 17:55:52,sflib,STATUS,sfp_whois module loaded.,1098
2025-12-03 17:55:52,sfp_threatcrowd,DEBUG,"Received event, INTERNET_NAME, from SpiderFoot UI",1099
2025-12-03 17:55:52,sflib,STATUS,"Fetching (GET): https://www.threatcrowd.org/searchApi/v2/domain/report/?domain=zeroshield.ai (proxy=None, user-agent=SpiderFoot, timeout=5, cookies=None)",1100
2025-12-03 17:55:52,sfp_whois,DEBUG,"Received event, DOMAIN_NAME, from SpiderFoot UI",1101
2025-12-03 17:55:52,sfp_whois,DEBUG,Sending WHOIS query for domain: zeroshield.ai,1102
2025-12-03 17:55:52,sfp__stor_db,DEBUG,Storing an event: ROOT,1103
2025-12-03 17:55:52,sfp__stor_db,DEBUG,Storing an event: INTERNET_NAME,1104
2025-12-03 17:55:52,sfp_crt,DEBUG,"Received event, INTERNET_NAME, from SpiderFoot UI",1105
